category,customer_question,reply
location,ให้บริการกรุงเทพไหม,ให้บริการทั่วไทยค่ะ กทม.ก็ได้ พี่อยู่แถวไหนคะ จะให้เซลส์ในพื้นที่ติดต่อกลับเลย
location,ต่างจังหวัดได้ไหม,ได้เลยค่ะ เราให้บริการทุกจังหวัด พี่อยู่จังหวัดไหนคะ ขอเบอร์หน่อยจะให้เซลส์ติดต่อกลับ
location,ภาคอีสานมีบริการไหม,มีค่ะ ทุกจังหวัดได้เลย พี่ช่วยบอกจังหวัดกับเบอร์ได้ไหมคะ จะให้ทีมติดต่อกลับทันที
location,เซลส์มาถึงบ้านไหม,มาค่ะ เรามีเซลส์ทุกจังหวัด ติดตั้งตู้ให้ฟรีถึงที่ พี่ช่วยแชร์ที่อยู่กับเบอร์ได้ไหมคะ
location,ไปไกลมีค่าส่งไหม,ไม่มีค่ะ ส่งฟรีทุกจังหวัด พี่อยู่ที่ไหนคะ ขอเบอร์ติดต่อหน่อยจะจัดการให้เลย
location,พื้นที่ไหนบ้างที่มีบริการ,ทั่วไทยเลยค่ะ เน้นภาคกลาง แต่ทุกจังหวัดรับได้ พี่อยู่แถวไหนคะ
price_question,เปิดบิลแรกเท่าไร,ขอเช็คโปรโมชั่นล่าสุดให้นะคะ สักครู่... (ดึงจาก business_data: โปรโมชั่นปัจจุบัน) พี่เหมาะกับโปรนี้ไหมคะ ขอเบอร์หน่อยจะโทรไปอธิบายเพิ่ม
price_question,โปรตอนนี้อะไร,ขอเช็คโปรล่าสุดให้นะคะ... (ดึงจาก business_data: โปรโมชั่นปัจจุบัน) คุ้มมากเลยค่ะ พี่ช่วยให้เบอร์ได้ไหมคะ
price_question,มีค่ามัดจำไหม,ไม่มีค่ะ ไม่มีมัดจำเลย (ดึงจาก business_data: ค่าใช้จ่ายทั้งหมด) พี่พร้อมเริ่มเมื่อไหร่คะ
price_question,ค่าใช้จ่ายทั้งหมดเท่าไร,ขอเช็คข้อมูลให้แน่ใจนะคะ... (ดึงจาก business_data: ค่าใช้จ่ายทั้งหมด) พี่สะดวกช่วงไหนให้โทรไปคุยคะ
price_question,แพงไหม,ไม่แพงเลยค่ะ (ดึงจาก business_data: ค่าใช้จ่ายทั้งหมด) คุ้มมากค่ะ พี่ต้องการทราบอะไรเพิ่มไหมคะ
price_question,ถ้าขายดีต้องซื้อเท่าไร,สั่งตามยอดขายเลยค่ะ ไม่มีบังคับขั้นต่ำ ขายดีก็สั่งเยอะ ขายน้อยก็สั่งน้อย พี่เหมาะกับแบบนี้ไหมคะ
price_question,ราคาสินค้าขายออกเท่าไร,ขอเช็คราคาล่าสุดให้นะคะ... (ดึงจาก business_data: ราคาขายออก) พี่ช่วยให้เบอร์ได้ไหมคะ จะส่งรายละเอียดให้
price_question,กำไรเท่าไร,(ดึงจาก business_data: กำไรโดยเฉลี่ย) พี่ร้านเป็นแบบไหนคะ จะประเมินกำไรให้คร่าวๆ
price_question,คุ้มไหม,คุ้มค่ะ ไม่ต้องลงทุน ได้กำไรเพิ่ม พี่ช่วงไหนสะดวกให้โทรไปคุยคะ
price_question,มีส่วนลดไหม,ขอเช็คโปรล่าสุดให้นะคะ... (ดึงจาก business_data: โปรโมชั่นปัจจุบัน) พี่ช่วยให้เบอร์หน่อยจะโทรไปอธิบายเพิ่ม
freezer_info,ตู้ใหญ่แค่ไหน,(ดึงจาก business_data: ขนาดตู้แช่) พี่ร้านกว้างประมาณเท่าไหร่คะ จะแนะนำให้
freezer_info,ค่าไฟเท่าไร,(ดึงจาก business_data: ค่าไฟตู้แช่) ไม่แพงเลย พี่เหมาะกับตู้ขนาดไหนคะ
freezer_info,ตู้เสียต้องทำยังไง,(ดึงจาก business_data: เคลมตู้เสีย) พี่สบายใจได้นะคะ ช่วงไหนสะดวกให้ติดตั้ง
freezer_info,ตู้มีรับประกันไหม,(ดึงจาก business_data: การรับประกันตู้) พี่มั่นใจได้เลย ต้องการเริ่มเมื่อไหร่คะ
freezer_info,ติดตั้งนานไหม,(ดึงจาก business_data: การติดตั้งตู้) พี่ช่วงไหนสะดวกให้ไปติดตั้ง
freezer_info,มีค่าติดตั้งไหม,ไม่มีค่ะ (ดึงจาก business_data: การติดตั้งตู้) พี่พร้อมเริ่มไหมคะ ช่วยให้เบอร์หน่อย
freezer_info,ดูตู้ได้ที่ไหน,ให้เซลส์เอาตัวอย่างไปให้ดูที่ร้านเลยค่ะ พี่อยู่ที่ไหนคะ ขอเบอร์หน่อยจะนัดให้
freezer_info,เปลี่ยนตู้ได้ไหม,ได้ค่ะ ถ้าขนาดไม่เหมาะเปลี่ยนได้เลย ไม่เสียค่าใช้จ่าย พี่ต้องการขนาดไหนคะ
contract,สัญญาผูกมัดไหม,(ดึงจาก business_data: สัญญาและเงื่อนไข) พี่สบายใจได้เลยค่ะ ช่วงไหนสะดวกให้เริ่ม
contract,ขายไม่ดีทำยังไง,(ดึงจาก business_data: สัญญาและเงื่อนไข) แต่ลูกค้าส่วนใหญ่ขายดีนะคะ พี่ช่วยให้เบอร์หน่อย
contract,ไม่อยากขายแล้วทำยังไง,(ดึงจาก business_data: การยกเลิกสัญญา) ง่ายมาก ไม่มีค่าใช้จ่าย พี่ต้องการเริ่มไหมคะ
contract,มีเงื่อนไขอะไรบ้าง,(ดึงจาก business_data: สัญญาและเงื่อนไข) พี่พร้อมเริ่มไหมคะ ขอเบอร์หน่อย
contract,ต้องสั่งขั้นต่ำไหม,(ดึงจาก business_data: การสั่งซื้อ) ไม่บังคับ พี่ต้องการทราบอะไรเพิ่มไหมคะ
school_special,โรงเรียนทำได้ไหม,ได้เลยค่ะ เรามีลูกค้าโรงเรียนเยอะมาก นักเรียนชอบมาก พี่ช่วยให้เบอร์ได้ไหมคะ จะให้เซลส์ไปคุย
