file_id,file_name,file_type,category,file_path,session_id,status,created_date,last_modified,size_kb,line_count,description,dependencies,n8n_workflow_id,google_sheet_id,endpoint,priority,notes
WF_001,BrEps7QE3eBia4U4_enhanced.json,JSON,workflow,CC_CREATIVE_SESSION2/workflows/BrEps7QE3eBia4U4_enhanced.json,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:00:00Z,2025-11-09T02:00:00Z,45,850,Text Overlay with Arc Curve (-180° to 180°),Cloudinary API,BrEps7QE3eBia4U4,,/webhook/overlay-form,high,Brand critical - arc curve feature
WF_002,QvgQdZ81AemlcpxE_fixed.json,JSON,workflow,CC_CREATIVE_SESSION2/workflows/QvgQdZ81AemlcpxE_fixed.json,011CUwTvYtKA4GKRwhYoEWvK,legacy,2025-11-09T02:00:00Z,2025-11-09T02:00:00Z,38,720,Main Router (Fixed version),"Telegram API, WF_001",QvgQdZ81AemlcpxE,,telegram_trigger,medium,Replaced by WF_007 Main_Router_Enhanced
WF_003,Review_System.json,JSON,workflow,CC_CREATIVE_SESSION2/workflows/Review_System.json,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:00:00Z,2025-11-09T02:00:00Z,42,790,Content Review & Approval System,"CSV_002, Telegram API",review-system-001,,/webhook/review-request,high,Integrates with Review_Tracking.csv
WF_004,Boost_Calculator.json,JSON,workflow,CC_CREATIVE_SESSION2/workflows/Boost_Calculator.json,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:00:00Z,2025-11-09T02:00:00Z,35,650,Engagement Boost Score Calculator (0-100),None,boost-calc-001,,/webhook/boost-calculate,medium,Time 25% + Day 20% + Content 30% + Tags 25%
WF_005,Integration_Hub.json,JSON,workflow,CC_CREATIVE_SESSION2/workflows/Integration_Hub.json,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:00:00Z,2025-11-09T02:00:00Z,48,890,Central API Hub for all systems,"WF_001, WF_003, WF_004, Facebook API",integration-hub-001,,/webhook/hub,high,Routes: review | boost | text_overlay | publish | analytics
WF_006,Check_Post_System.json,JSON,workflow,CC_CREATIVE_SESSION2/workflows/Check_Post_System.json,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:30:00Z,2025-11-09T02:30:00Z,52,980,Post Inspection with Loop Protection,"CSV_003, Telegram API, WF_001",check-post-001,POST_STATE_TRACKING_SHEET_ID,/webhook/check-post,critical,MAX 5 iterations | Warning at ≤2 | Reset capability
WF_007,Main_Router_Enhanced.json,JSON,workflow,CC_CREATIVE_SESSION2/workflows/Main_Router_Enhanced.json,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:30:00Z,2025-11-09T02:30:00Z,55,1050,Enhanced Main Router with Error Handling,"Telegram API, WF_006, create_image workflows",main-router-002,,telegram_trigger,critical,Replaces WF_002 | Retry logic 3x 2s | Error notifications
WF_008,text_overlay_workflow_CURRENT.json,JSON,workflow,text_overlay_workflow_CURRENT.json,011CUuaYqfZUHfh8YMBbp5Vm,legacy,2025-11-08T00:00:00Z,2025-11-08T00:00:00Z,38,710,Original Text Overlay (Session 1),Cloudinary API,BrEps7QE3eBia4U4,,,low,Replaced by WF_001 enhanced version
CSV_001,Content_Queue.csv,CSV,data,CC_CREATIVE_SESSION2/csv/Content_Queue.csv,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:00:00Z,2025-11-09T02:00:00Z,2,50,Content scheduling queue management,"Google Sheets API, WF_005",,CONTENT_QUEUE_SHEET_ID,,medium,Tracks scheduled posts | Priority queue | Arc curve tracking
CSV_002,Review_Tracking.csv,CSV,data,CC_CREATIVE_SESSION2/csv/Review_Tracking.csv,011CUwTvYtKA4GKRwhYoEWvK,ready,2025-11-09T02:00:00Z,2025-11-09T02:00:00Z,2,45,Review status tracking,"Google Sheets API, WF_003",,REVIEW_TRACKING_SHEET_ID,,high,Approval workflow | Reviewer assignment | Boost score
